,ListedCoID,0
159,101813,10
160,101814,21
161,101815,3
162,101816,27
163,101818,33
164,101819,27
165,102299,24
166,102300,31
167,102302,1
168,102305,3
169,102306,21
170,101571,6
171,101680,31
172,101572,18
173,101573,64
174,101590,23
175,101591,7
176,101625,36
177,101627,23
178,101628,57
179,101644,16
180,101715,36
181,101613,67
182,101614,35
183,101616,17
184,101634,20
185,101635,9
186,102332,18
187,102342,34
188,102325,26
189,102326,50
190,102327,16
191,102328,24
192,10859,23
193,10961,38
194,10962,48
195,10963,11
196,10964,25
197,10965,23
198,101485,3
199,101501,18
200,102878,10
201,101502,28
202,101504,17
203,101505,30
204,101477,9
205,107558,19
206,101478,48
207,101479,19
208,101496,25
209,101497,21
210,101579,23
211,101581,7
212,101582,30
213,101583,21
214,101584,39
215,101666,28
216,101667,6
217,101668,3
218,107555,34
219,101669,8
220,101686,47
221,101749,10
222,101750,43
223,101751,7
224,101752,12
225,101753,9
226,102279,15
227,102280,39
228,102281,18
229,102283,18
230,102304,13
231,101585,20
232,101586,30
233,101587,27
234,101588,23
235,101589,18
236,101606,16
237,101688,20
238,101691,25
239,101713,19
240,101714,25
241,101791,17
242,101820,16
243,101821,33
244,101822,28
245,101701,43
246,101702,31
247,102307,22
248,102308,36
249,102330,25
250,107890,54
251,102312,28
252,102053,47
253,101592,21
254,101593,39
255,101594,25
256,101618,22
257,101619,26
258,101812,21
259,101716,33
260,101717,12
261,101737,27
262,101738,9
263,101739,25
264,107559,13
265,101637,7
266,101638,49
267,101639,11
268,101777,21
269,102340,18
270,102333,21
271,102334,31
272,102335,27
273,101911,10
274,101495,12
275,10776,40
276,10777,28
277,10877,67
278,10878,31
279,10879,40
280,101498,17
281,101499,38
282,101516,35
283,101517,13
284,101518,9
285,101511,8
286,101512,41
287,101513,8
288,101514,4
289,101515,13
290,101912,18
291,101913,28
292,101914,4
293,101915,23
294,102284,1
295,102285,46
296,101601,21
297,101798,19
298,101799,41
299,101801,4
300,101802,15
301,101700,19
302,101808,26
303,101809,1
304,101810,11
305,101811,13
306,104988,20
307,101694,10
308,101602,37
309,101603,13
310,101604,41
311,101605,2
312,102286,31
313,102287,33
314,102288,33
315,102309,5
316,102310,5
317,101789,9
318,108486,13
319,101786,9
320,101787,32
321,101788,13
322,101607,26
323,102203,15
324,101608,25
325,101609,6
326,101610,18
327,101683,52
328,101326,8
329,101327,46
330,101328,9
331,101329,16
332,101330,28
333,101872,22
334,101873,9
335,101874,17
336,101506,24
337,101261,41
338,101267,19
339,101268,7
340,101270,12
341,101352,16
342,101434,30
343,101452,9
344,101453,29
345,101454,9
346,101455,36
347,101325,16
348,101443,17
349,101444,21
350,101445,41
351,101823,30
352,101824,35
353,101522,41
354,101523,9
355,101524,36
356,101525,10
357,101528,21
358,101598,19
359,101599,51
360,101600,40
361,101640,12
362,101641,75
363,101741,3
364,101762,12
365,101764,6
366,101765,14
367,101651,6
368,101727,26
369,101728,19
370,101729,15
371,101797,8
372,101657,26
373,101658,14
374,101834,54
375,101576,10
376,101577,12
377,101578,6
378,101550,9
379,101833,14
380,101248,26
381,101249,13
382,101250,11
383,101252,5
384,101253,16
385,101409,16
386,101380,28
387,101381,41
388,101382,17
389,101408,19
390,101283,25
391,101284,50
392,101286,18
393,101288,5
394,101418,25
395,101855,11
396,101856,11
397,101857,22
398,101858,43
399,101487,2
400,101254,24
401,101255,26
402,101256,22
403,101257,3
404,101258,16
405,101259,37
406,101432,11
407,101410,29
408,101411,27
409,101412,36
410,101431,8
411,101368,25
412,101369,19
413,101370,33
414,101371,15
415,101372,21
416,101507,8
417,101508,4
418,101509,31
419,108152,35
420,101353,31
421,101354,23
422,101355,7
423,101356,25
424,101969,3
425,101447,15
426,101342,17
427,101343,2
428,101344,24
429,101345,25
430,101435,14
431,101826,17
432,101827,23
433,101895,21
434,101538,11
435,101529,29
436,101530,32
437,10994,39
438,101214,7
439,101215,3
440,101642,31
441,101643,26
442,101660,16
443,101735,9
444,103297,44
445,101652,41
446,101653,25
447,101654,9
448,101670,8
449,101744,12
450,102267,17
451,102268,26
452,102345,7
453,102346,14
454,101835,47
455,101836,25
456,101189,14
457,101190,7
458,101191,10
459,101314,7
